_id,timestamp,sourceip,port_service,event_description,status,logtype,region_id,region_name,region_code,macro_region,_score,headers_http_request_method,sap_app_env,http_status_code,is_security_event
521e0de3-7fbd-4c33-a751-560916a5a914,2026-04-22 04:04:07+00:00,217.89.155.68,PATCH in-del.sap-services.internal,SAP Joule entity extraction completed — 7 entities identified for sap-btp-cf via OData.,204,INFO,AS-007,India | Delhi,IN-DEL,Asia,0.7717,PATCH,sandbox,204.0,False
f64667a6-54d3-4671-a40c-279f46a24d35,2026-04-22 04:04:07+00:00,31.64.58.17,GET us-azc.sap-services.internal,Payload 42 bytes sent to sap-s4hana-finance.,200,DEBUG,NA-011,USA | Azure US Central,US-AZC,North America,0.5665,GET,sandbox,200.0,False
8398220c-bc2c-4389-bf68-c7b9525d8ab4,2026-04-22 04:04:07+00:00,130.234.28.223,PUT ae-auh.sap-services.internal,SAP Joule copilot session initialised for sap-s4hana-finance user via RFC.,201,INFO,MEA-011,UAE | Abu Dhabi,AE-AUH,Middle East & Africa,0.9226,PUT,development,201.0,False
4b926cb8-c7e4-4c5a-8440-c8d2e66f7288,2026-04-22 04:04:08+00:00,161.77.216.164,GET ae.sap-services.internal,Cron expression validated and scheduled for sap-successfactors.,204,INFO,MEA-013,United Arab Emirates,AE,Middle East & Africa,0.5499,GET,production,204.0,False
8831475b-54b5-41d9-9401-a1e74fb5f16e,2026-04-22 04:04:08+00:00,7.144.51.184,PATCH us-egv.sap-services.internal,MFA challenge issued for high-risk action on sap-fiori-launchpad via BTP-Event.,200,AUDIT,NA-018,"USA | Elk Grove Village, IL",US-EGV,North America,0.7709,PATCH,qa,200.0,False
3eda7410-e984-4685-a6a2-75c7170295d5,2026-04-22 04:04:09+00:00,192.168.8.34,PATCH us-phl.sap-services.internal,Throughput degraded by 23% compared to baseline for sap-data-sphere via OData.,201,PERF,NA-007,"US | Philadelphia, PA",US-PHL,North America,0.9406,PATCH,sandbox,201.0,False
6383cecd-2d67-4fe8-a5f4-bd765048e10e,2026-04-22 04:04:10+00:00,13.221.29.40,POST in-bom.sap-services.internal,SAP Joule grounding source RFC returned low-confidence results for sap-s4hana-sales.,429,WARNING,AS-009,India | Mumbai,IN-BOM,Asia,0.9142,POST,qa,429.0,False
a26acfdc-2b8a-448c-812a-90bfb9aa3f6b,2026-04-22 04:04:10+00:00,98.153.120.136,POST be-stg.sap-services.internal,New user session created on sap-concur via IDOC.,200,INFO,EU-004,Belgium | St. Ghislain,BE-STG,Europe,0.5804,POST,development,200.0,False
065a27bf-cd43-4a89-a431-774b5a8527b0,2026-04-22 04:04:11+00:00,21.219.60.222,PATCH eg-del.sap-services.internal,Serialiser selected: JSON for sap-data-sphere payload.,201,DEBUG,MEA-002,Egypt | DELL CE (Primary),EG-DEL,Middle East & Africa,0.5539,PATCH,qa,201.0,False
6b6f78c0-6177-4a0b-9f21-0e581b888cc5,2026-04-22 04:04:11+00:00,36.109.47.72,PATCH ca-mtl.sap-services.internal,Request cadence slightly above average on sap-btp-cf via SOAP — within normal variance.,200,SECURITY,NA-002,Canada | Montreal,CA-MTL,North America,0.9068,PATCH,sandbox,200.0,True
