_id,timestamp,port_service,event_description,status,logtype,region_id,region_name,region_code,macro_region,sap_llm_response_time,sap_llm_response_size,llm_cost_usd,_score,headers_http_request_method,llm_model_id,sap_app_env,llm_finish_reason,llm_temperature,http_status_code,llm_response_time_ms,llm_total_tokens,llm_status,llm_prompt
56980386-51f2-426a-9a1e-f3bd2be7581e,2026-04-22 04:04:07+00:00,PUT llm.mx-qro.sap-ai.internal,LLM SUCCESS: gemini-2.0-pro responded in 2762.16 ms (2121 tokens) via sap-ariba.,success,LLM_REQUEST,NA-006,Mexico | Queretaro,MX-QRO,North America,2762.16,30598.0,0.007423,0.744,PUT,gemini-2.0-pro,production,stop,0.81,,2762.16,2121.0,success,Predict customer churn risk for sap-ariba accounts in Mexico | Queretaro based on usage patterns.
c23759e5-b25d-41df-b320-4c68cad2d694,2026-04-22 04:04:07+00:00,DELETE llm.de-wdf.sap-ai.internal,LLM SUCCESS: gpt-4 responded in 14739.74 ms (1946 tokens) via sap-s4hana-sales.,success,LLM_REQUEST,EU-013,Germany | Walldorf,DE-WDF,Europe,14739.74,30131.0,0.05838,0.951,DELETE,gpt-4,qa,stop,0.49,,14739.74,1946.0,success,Recommend logistics optimisations for sap-s4hana-sales to reduce lead times in Germany | Walldorf.
825f790f-1e9f-4510-ac0f-04eead6a463d,2026-04-22 04:04:07+00:00,DELETE llm.ca-tor.sap-ai.internal,LLM SUCCESS: gemini-1.5-pro responded in 11495.22 ms (692 tokens) via sap-concur.,success,LLM_REQUEST,NA-004,Canada | Toronto,CA-TOR,North America,11495.22,28846.0,0.004844,0.9112,DELETE,gemini-1.5-pro,sandbox,stop,0.05,,11495.22,692.0,success,Ask SAP Joule to explain the inventory discrepancy detected in sap-concur for region Canada | Toronto.
079a280c-a1be-40b9-afa8-bfc3b1f9dbdb,2026-04-22 04:04:08+00:00,POST llm.ch-zrh.sap-ai.internal,LLM SUCCESS: gemini-1.5-pro responded in 12813.27 ms (1510 tokens) via sap-s4hana-sales.,success,LLM_REQUEST,EU-030,Switzerland | Zurich,CH-ZRH,Europe,12813.27,15283.0,0.01057,0.6093,POST,gemini-1.5-pro,qa,stop,1.24,,12813.27,1510.0,success,Draft a professional reply to the email thread about sap-s4hana-sales from the Switzerland | Zurich team.
def6d803-0810-41e4-9a15-a137498ed291,2026-04-22 04:04:08+00:00,DELETE llm.my-kul.sap-ai.internal,LLM SUCCESS: claude-sonnet-4.6 responded in 610.36 ms (3070 tokens) via sap-analytics-cloud.,success,LLM_REQUEST,AS-015,Malaysia | Selangor (ex-Kuala Lumpur),MY-KUL,Asia,610.36,18218.0,0.01228,0.7387,DELETE,claude-sonnet-4.6,development,stop,0.59,,610.36,3070.0,success,Summarise the tax provision calculation for sap-analytics-cloud in Malaysia | Selangor (ex-Kuala Lumpur) for Q4.
a529de98-d6ea-43e7-bb91-7e4bede1fdab,2026-04-22 04:04:08+00:00,PATCH llm.eu-2.sap-ai.internal,"LLM TIMEOUT: Request timed out after 30 s. (model=mistral-small-4, app=sap-intelligent-rpa)",timeout,LLM_TIMEOUT,EU-001,Europe (2),EU-2,Europe,32074.09,,0.000708,0.8908,PATCH,mistral-small-4,staging,timeout,0.07,,32074.09,2360.0,timeout,Review the flagged LLM responses from sap-intelligent-rpa for potential hallucinations and propose guardrails.
59822cdb-2e93-4a3f-aca2-7282f430217a,2026-04-22 04:04:09+00:00,POST llm.ca-cen.sap-ai.internal,LLM SUCCESS: gpt-3.5-turbo responded in 8068.13 ms (2279 tokens) via sap-ariba.,success,LLM_REQUEST,NA-001,Canada | Central,CA-CEN,North America,8068.13,32250.0,0.002279,0.5208,POST,gpt-3.5-turbo,staging,stop,1.37,,8068.13,2279.0,success,Review SOX controls for sap-ariba financial reporting processes and identify deficiencies.
27682846-6aed-4c39-a350-e366f179b2ab,2026-04-22 04:04:09+00:00,DELETE llm.in-hyd.sap-ai.internal,LLM SUCCESS: gpt-5.4 responded in 4812.8 ms (2089 tokens) via sap-ariba.,success,LLM_REQUEST,AS-008,India | Hyderabad,IN-HYD,Asia,4812.8,25147.0,0.04178,0.751,DELETE,gpt-5.4,staging,length,0.85,,4812.8,2089.0,success,Draft a polite follow-up reminder to vendor QuantumVendors regarding the outstanding deliverable for sap-ariba.
c839b529-2bab-425e-bef0-341f2c251587,2026-04-22 04:04:09+00:00,GET llm.us-mks.sap-ai.internal,LLM SUCCESS: claude-3-sonnet responded in 6833.18 ms (814 tokens) via sap-data-sphere.,success,LLM_REQUEST,NA-023,"USA | Moncks Corner, SC",US-MKS,North America,6833.18,1989.0,0.002442,0.9884,GET,claude-3-sonnet,development,stop,0.98,,6833.18,814.0,success,Summarise LLM API token consumption for sap-data-sphere over the past 30 days and highlight cost drivers.
61a58108-373c-4fb6-a2a3-1120e8b63cd2,2026-04-22 04:04:09+00:00,DELETE llm.pl-waw.sap-ai.internal,LLM SUCCESS: mistral-small-4 responded in 11314.9 ms (2062 tokens) via sap-successfactors.,success,LLM_REQUEST,EU-025,Poland | Warsaw,PL-WAW,Europe,11314.9,9764.0,0.000619,0.5436,DELETE,mistral-small-4,sandbox,stop,0.69,,11314.9,2062.0,success,Summarise the tax provision calculation for sap-successfactors in Poland | Warsaw for Q3.
289d654b-d4af-40bb-a2b8-0350e90c381a,2026-04-22 04:04:10+00:00,GET llm.nl-ams.sap-ai.internal,LLM SUCCESS: gpt-4 responded in 3990.19 ms (2320 tokens) via sap-analytics-cloud.,success,LLM_REQUEST,EU-020,Netherlands | Amsterdam,NL-AMS,Europe,3990.19,12552.0,0.0696,0.5349,GET,gpt-4,production,stop,0.82,,3990.19,2320.0,success,A critical component shortage has been flagged for sap-analytics-cloud in Netherlands | Amsterdam. Draft an escalation plan and identify alternative suppliers.
145b869c-7608-4f7c-8c9d-0f56cb0fef21,2026-04-22 04:04:10+00:00,PATCH llm.za-jnb2.sap-ai.internal,LLM SUCCESS: gemini-1.5-flash responded in 12418.63 ms (1372 tokens) via sap-successfactors.,success,LLM_REQUEST,MEA-010,South Africa | Johannesburg (2),ZA-JNB2,Middle East & Africa,12418.63,16851.0,0.00048,0.9495,PATCH,gemini-1.5-flash,production,stop,0.02,,12418.63,1372.0,success,Summarise the API error rate for sap-successfactors in South Africa | Johannesburg (2) and classify errors by HTTP status code.
007d1c60-730e-4c88-acb2-a3702540079f,2026-04-22 04:04:10+00:00,GET llm.cn-n3.sap-ai.internal,"LLM ERROR: Number of batch items exceeds the limit. (model=claude-sonnet-4.6, app=sap-btp-cf)",error,LLM_ERROR,AS-004,China | North 3,CN-N3,Asia,229.43,,0.003256,0.6647,GET,claude-sonnet-4.6,staging,content_filter,1.04,,229.43,814.0,error,What KPIs are underperforming in sap-btp-cf this quarter?
